,person,credit_type,year,title,imdb_link,media_type,total_episode_count,add_info,year_start,year_end
23479,Alan Zweibel,writer,nan-nan,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series) (writer - 93 episodes, 1976 - 1980) (written by - 14 episodes, 1975 - 1979) (additional sketches - 2 episodes, 1984 - 1987) (additional sketches by - 1 episode, 1984)",110,"Saturday Night Live
(TV Series) (writer - 93 episodes, 1976 - 1980) (written by - 14 episodes, 1975 - 1979) (additional sketches - 2 episodes, 1984 - 1987) (additional sketches by - 1 episode, 1984)


- Garry Shandling/Los Lobos
(1987)
... (additional sketches)


- Eddie Murphy/Robert Plant & The Honeydrippers
(1984)
... (additional sketches by)


- Jesse Jackson/Andrae Crouch, Wintley Phipps
(1984)
... (additional sketches)


- Buck Henry/Andrew Gold/Andrae Crouch & Voices of Unity
(1980)
... (writer)


- Steve Martin/Paul & Linda McCartney/3-D
(1980)
... (writer)





Show all 110 episodes",1975,1987
23493,Alan Zweibel,actor,1975-1984,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Passerby / Bartender / ...",52,"1975-1984

Saturday Night Live
(TV Series)

Various / Passerby / Bartender / ...

- Eddie Murphy/Robert Plant & The Honeydrippers
(1984)
... Deli Employee (uncredited)


- Jesse Jackson/Andrae Crouch, Wintley Phipps
(1984)
... Airplane Passenger (uncredited)


- Buck Henry/Andrew Gold/Andrae Crouch & Voices of Unity
(1980)
... Duke of Argyle (uncredited)


- Bob Newhart/The Amazing Rhythm Aces/Bruce Cockburn
(1980)
... Customer (uncredited)


- Strother Martin/The Specials
(1980)
... Various





Show all 52 episodes",1975,1984
23576,Tim Kazurinsky,actor,1981-1984,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Dr. Jack Badofsky / Wayne Huevos / ...",57,"1981-1984

Saturday Night Live
(TV Series)

Various / Dr. Jack Badofsky / Wayne Huevos / ...

- Billy Crystal/Ed Koch/Edwin Newman/Father Guido Sarducci/Betty Thomas/The Cars
(1984)
... Various / Worthington Clotman / Moe / ...


- Barry Bostwick/Spinal Tap
(1984)
... Various


- George McGovern/Madness
(1984)
... Various


- Michael Douglas/Deniece Williams
(1984)
... Various / Price / Wayne Huevos


- Billy Crystal/Al Jarreau
(1984)
... Various





Show all 57 episodes",1981,1984
23583,Tim Kazurinsky,writer,nan-nan,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series) (writer - 40 episodes, 1981 - 1983) (written by - 20 episodes, 1981 - 1984)",60,"Saturday Night Live
(TV Series) (writer - 40 episodes, 1981 - 1983) (written by - 20 episodes, 1981 - 1984)


- Billy Crystal/Ed Koch/Edwin Newman/Father Guido Sarducci/Betty Thomas/The Cars
(1984)
... (written by)


- Barry Bostwick/Spinal Tap
(1984)
... (written by)


- George McGovern/Madness
(1984)
... (written by)


- Michael Douglas/Deniece Williams
(1984)
... (written by)


- Billy Crystal/Al Jarreau
(1984)
... (written by)





Show all 60 episodes",1981,1984
23591,Tim Kazurinsky,self,1981-1985,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Self - Audience Member / Dr. Jack Badofsky / ...",4,"1981-1985

Saturday Night Live
(TV Series)

Self / Self - Audience Member / Dr. Jack Badofsky / ...

- Alex Karras/Tina Turner
(1985)
... Self - Audience Member (uncredited)


- Danny DeVito/Sparks
(1982)
... Self / Dr. Jack Badofsky / Ozzy Osbourne / ...


- Bruce Dern/Luther Vandross
(1982)
... Self / Various / Moe Laub


- Bill Murray/The Spinners/Yale Whiffenpoofs
(1981)
... Self / ElfVarious",1981,1985
23596,Tim Kazurinsky,archive_footage,1985-1985,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Hitchhiker",1,"1985

Saturday Night Live
(TV Series)

Hitchhiker

- SNL Film Festival
(1985)
... Hitchhiker (uncredited)",1985,1985
23676,Laura Kightlinger,actress,1994-1995,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Marcia Clark / Connie Chung / ...",19,"1994-1995

Saturday Night Live
(TV Series)

Various / Marcia Clark / Connie Chung / ...

- Bob Saget/TLC
(1995)
... Various


- Courteney Cox/Dave Matthews Band
(1995)
... Various


- Damon Wayans/Dionne Farris
(1995)
... Various


- John Goodman/Tragically Hip
(1995)
... Various / Marcia Clark


- Paul Reiser/Annie Lennox
(1995)
... Various





Show all 19 episodes",1994,1995
23704,Laura Kightlinger,self,1995-1995,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self",1,"1995

Saturday Night Live
(TV Series)

Self

- David Duchovny/Rod Stewart
(1995)
... Self",1995,1995
23750,Laura Kightlinger,writer,1994-1995,Saturday Night Live,https://www.imdb.com/title/tt0072562/,(TV Series) (writer - 20 episodes),20,"1994-1995

Saturday Night Live
(TV Series) (writer - 20 episodes)


- David Duchovny/Rod Stewart
(1995)
... (writer)


- Bob Saget/TLC
(1995)
... (writer)


- Courteney Cox/Dave Matthews Band
(1995)
... (writer)


- Damon Wayans/Dionne Farris
(1995)
... (writer)


- John Goodman/Tragically Hip
(1995)
... (writer)





Show all 20 episodes",1994,1995
23793,Tim Robinson,actor,2012-2013,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Carl / Bill Cowher / ...",21,"2012-2013

Saturday Night Live
(TV Series)

Various / Carl / Bill Cowher / ...

- Ben Affleck/Kanye West
(2013)
... Various


- Kristen Wiig/Vampire Weekend
(2013)
... Various


- Zach Galifianakis/Of Monsters and Men
(2013)
... Various


- Vince Vaughn/Miguel
(2013)
... Various


- Melissa McCarthy/Phoenix
(2013)
... Various





Show all 21 episodes",2012,2013
23803,Tim Robinson,writer,nan-nan,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series) (2 episodes, 2020) (written by - 64 episodes, 2013 - 2017) (writer - 2 episodes, 2018 - 2019)",68,"Saturday Night Live
(TV Series) (2 episodes, 2020) (written by - 64 episodes, 2013 - 2017) (writer - 2 episodes, 2018 - 2019)


- Issa Rae/Justin Bieber
(2020)


- Adam Driver/Halsey
(2020)


- Kit Harington/Sara Bareilles
(2019)
... (writer)


- Jason Momoa/Mumford & Sons
(2018)
... (writer)


- Octavia Spencer/Father John Misty
(2017)
... (written by)





Show all 68 episodes",2013,2020
23877,Tony Rosato,actor,1981-1982,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Lou Grant / Self / ...",20,"1981-1982

Saturday Night Live
(TV Series)

Various / Lou Grant / Self / ...

- Olivia Newton-John
(1982)
... Various


- Danny DeVito/Sparks
(1982)
... Miguel / Lou Grant / fan / ...


- Robert Culp/The Charlie Daniels Band
(1982)
... Various


- Johnny Cash/Elton John
(1982)
... Various


- Daniel J. Travanti/John Cougar
(1982)
... Various





Show all 20 episodes",1981,1982
23929,Tony Rosato,writer,nan-nan,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series) (writer - 20 episodes, 1981 - 1982) (written by - 1 episode, 1981)",21,"Saturday Night Live
(TV Series) (writer - 20 episodes, 1981 - 1982) (written by - 1 episode, 1981)


- Olivia Newton-John
(1982)
... (writer)


- Danny DeVito/Sparks
(1982)
... (writer)


- Robert Culp/The Charlie Daniels Band
(1982)
... (writer)


- Johnny Cash/Elton John
(1982)
... (writer)


- Daniel J. Travanti/John Cougar
(1982)
... (writer)





Show all 21 episodes",1981,1982
23932,Tony Rosato,self,1981-1981,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Richard Allen / Various",1,"1981

Saturday Night Live
(TV Series)

Self / Richard Allen / Various

- Bill Murray/The Spinners/Yale Whiffenpoofs
(1981)
... Self / Richard Allen / Various",1981,1981
24017,Adam Sandler,writer,1990-1993,Saturday Night Live,https://www.imdb.com/title/tt0072562/,(TV Series) (writer - 60 episodes),60,"1990-1993

Saturday Night Live
(TV Series) (writer - 60 episodes)


- Kevin Kline/Willie Nelson & Paul Simon
(1993)
... (writer)


- Christina Applegate/Midnight Oil
(1993)
... (writer)


- Kirstie Alley/Lenny Kravitz
(1993)
... (writer)


- Jason Alexander/Peter Gabriel
(1993)
... (writer)


- Miranda Richardson/Soul Asylum
(1993)
... (writer)





Show all 60 episodes",1990,1993
24030,Adam Sandler,self,1991-2020,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Various / Self - Host / ...",10,"1991-2020

Saturday Night Live
(TV Series)

Self / Various / Self - Host / ...

- SNL At Home: Brad Pitt/Miley Cyrus
(2020)
... Self (uncredited)


- Saturday Night Live at Home: Tom Hanks/Chris Martin
(2020)
... Self (uncredited)


- Adam Sandler/Shawn Mendes
(2019)
... Self - Host / Various


- Brittany Murphy/Nelly
(2002)
... Self (uncredited)


- Tom Arnold/Tupac Shakur
(1996)
... Self (uncredited)





Show all 10 episodes",1991,2020
24221,Adam Sandler,actor,1990-1995,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Canteen Boy / Opera Man / ...",87,"1990-1995

Saturday Night Live
(TV Series)

Various / Canteen Boy / Opera Man / ...

- Bob Saget/TLC
(1995)
... Various


- Courteney Cox/Dave Matthews Band
(1995)
... Bruce Springsteen / Angelo / Lucy Brawn / ...


- Damon Wayans/Dionne Farris
(1995)
... Various


- John Goodman/Tragically Hip
(1995)
... Various / Baba Booey


- Paul Reiser/Annie Lennox
(1995)
... Various





Show all 87 episodes",1990,1995
24477,Rob Schneider,actor,1990-1994,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Richard Laymer / Customer / ...",80,"1990-1994

Saturday Night Live
(TV Series)

Various / Richard Laymer / Customer / ...

- Heather Locklear/Janet Jackson
(1994)
... Michael Mancini / Caller / Orgasm Guy / ...


- John Goodman/The Pretenders
(1994)
... Various / Ninja / Cab Driver


- Emilio Estevez/Pearl Jam
(1994)
... Various


- Kelsey Grammer/Dwight Yoakam
(1994)
... Various


- Helen Hunt/Snoop Doggy Dogg
(1994)
... Various / K.D. lang / Total Bastard Airlines Passenger





Show all 80 episodes",1990,1994
24488,Rob Schneider,writer,1989-1992,Saturday Night Live,https://www.imdb.com/title/tt0072562/,(TV Series) (writer - 56 episodes),56,"1989-1992

Saturday Night Live
(TV Series) (writer - 56 episodes)


- Woody Harrelson/Vanessa Williams
(1992)
... (writer)


- Tom Hanks/Bruce Springsteen
(1992)
... (writer)


- Jerry Seinfeld/Annie Lennox
(1992)
... (writer)


- Sharon Stone/Pearl Jam
(1992)
... (writer)


- Mary Stuart Masterson/En Vogue
(1992)
... (writer)





Show all 56 episodes",1989,1992
24574,Rob Schneider,archive_footage,2009-2009,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self",1,"2009

Saturday Night Live
(TV Series)

Self

- Gerard Butler/Shakira
(2009)
... Self (uncredited)",2009,2009
24651,Rob Schneider,self,1992-2020,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / guard",3,"1992-2020

Saturday Night Live
(TV Series)

Self / guard

- SNL At Home: Brad Pitt/Miley Cyrus
(2020)
... Self (uncredited)


- Brittany Murphy/Nelly
(2002)
... Self (uncredited)


- Sharon Stone/Pearl Jam
(1992)
... Self / guard",1992,2020
24922,Harry Shearer,archive_footage,1985-1985,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various",1,"1985

Saturday Night Live
(TV Series)

Various

- SNL Film Festival
(1985)
... Various",1985,1985
24994,Harry Shearer,actor,1975-1985,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Announcer / Ronald Reagan / ...",38,"1975-1985

Saturday Night Live
(TV Series)

Various / Announcer / Ronald Reagan / ...

- Howard Cosell/Greg Kihn
(1985)
... Various (credit only)


- Christopher Reeve/Santana
(1985)
... Various (credit only)


- Pamela Sue Martin/Power Station
(1985)
... Various (credit only)


- Harry Anderson/Bryan Adams
(1985)
... Various (credit only)


- Alex Karras/Tina Turner
(1985)
... Various (credit only)





Show all 38 episodes",1975,1985
25011,Harry Shearer,writer,nan-nan,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series) (writer - 21 episodes, 1979 - 1985) (written by - 10 episodes, 1984 - 1985)",31,"Saturday Night Live
(TV Series) (writer - 21 episodes, 1979 - 1985) (written by - 10 episodes, 1984 - 1985)


- SNL Film Festival
(1985)
... (writer)


- Kathleen Turner/John Waite
(1985)
... (written by)


- Eddie Murphy/Robert Plant & The Honeydrippers
(1984)
... (written by)


- Ringo Starr/Herbie Hancock
(1984)
... (written by)


- Ed Begley Jr/Billy Squier
(1984)
... (written by)





Show all 31 episodes",1979,1985
25097,Harry Shearer,self,1985-1985,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self",1,"1985

Saturday Night Live
(TV Series)

Self

- Mr. T and Hulk Hogan/The Commodores
(1985)
... Self",1985,1985
25300,Martin Short,actor,1984-2021,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Ed Grimley / Nathan Thurm / ...",25,"1984-2021

Saturday Night Live
(TV Series)

Various / Ed Grimley / Nathan Thurm / ...

- Maya Rudolph/Jack Harlow
(2021)
... Doug Emhoff (uncredited)


- SNL At Home: Kristen Wiig/Boyz II Men
(2020)
... Ripley (uncredited)


- Donald Glover/Childish Gambino
(2018)
... Dr. Harold Bornstein (uncredited)


- Donald Trump/Sia
(2015)
... Ed Grimley (uncredited)


- Justin Timberlake
(2013)
... Ned Nederlander / Self (uncredited)





Show all 25 episodes",1984,2021
25352,Martin Short,writer,nan-nan,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series) (written by - 16 episodes, 1984 - 1985) (writer - 1 episode, 1985)",17,"Saturday Night Live
(TV Series) (written by - 16 episodes, 1984 - 1985) (writer - 1 episode, 1985)


- Howard Cosell/Greg Kihn
(1985)
... (written by)


- Christopher Reeve/Santana
(1985)
... (written by)


- Mr. T and Hulk Hogan/The Commodores
(1985)
... (written by)


- SNL Film Festival
(1985)
... (writer)


- Pamela Sue Martin/Power Station
(1985)
... (written by)





Show all 17 episodes",1984,1985
25366,Martin Short,self,1986-2021,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Self - Host / Jackie Rogers Jr. / ...",5,"1986-2021

Saturday Night Live
(TV Series)

Self / Self - Host / Jackie Rogers Jr. / ...

- Paul Rudd/Charli XCX
(2021)
... Self


- Andy Samberg/St. Vincent
(2014)
... Self (uncredited)


- Martin Short/Paul McCartney
(2012)
... Self - Host / Jackie Rogers Jr. / Larry David / ...


- Martin Short/No Doubt
(1996)
... Self - Host / Jerry Lewis / Ed Grimley / ...


- Chevy Chase/Steve Martin/Martin Short/Randy Newman
(1986)
... Self - Co-Host / Various / Ed Grimley / ...",1986,2021
25544,Sarah Silverman,writer,1993-1994,Saturday Night Live,https://www.imdb.com/title/tt0072562/,(TV Series) (writer - 20 episodes),20,"1993-1994

Saturday Night Live
(TV Series) (writer - 20 episodes)


- Heather Locklear/Janet Jackson
(1994)
... (writer)


- John Goodman/The Pretenders
(1994)
... (writer)


- Emilio Estevez/Pearl Jam
(1994)
... (writer)


- Kelsey Grammer/Dwight Yoakam
(1994)
... (writer)


- Helen Hunt/Snoop Doggy Dogg
(1994)
... (writer)





Show all 20 episodes",1993,1994
25773,Sarah Silverman,actress,1993-1994,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Natalie Merchant / Sydney Andrew / ...",18,"1993-1994

Saturday Night Live
(TV Series)

Various / Natalie Merchant / Sydney Andrew / ...

- Heather Locklear/Janet Jackson
(1994)
... Sydney Andrew / Various


- John Goodman/The Pretenders
(1994)
... Various / Phyllis Comfort / Marisa Tomei


- Emilio Estevez/Pearl Jam
(1994)
... Various


- Kelsey Grammer/Dwight Yoakam
(1994)
... Various


- Helen Hunt/Snoop Doggy Dogg
(1994)
... Various / Cher / Total Bastard Airlines Passenger





Show all 18 episodes",1993,1994
25845,Sarah Silverman,self,2014-2014,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self - Host / Shailene Woodley / Joan Rivers / ...",1,"2014

Saturday Night Live
(TV Series)

Self - Host / Shailene Woodley / Joan Rivers / ...

- Sarah Silverman/Maroon 5
(2014)
... Self - Host / Shailene Woodley / Joan Rivers / ...",2014,2014
25983,Robert Smigel,producer,nan-nan,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series) (producer - 97 episodes, 1996 - 2008) (co-producer - 40 episodes, 1990 - 1992)",137,"Saturday Night Live
(TV Series) (producer - 97 episodes, 1996 - 2008) (co-producer - 40 episodes, 1990 - 1992)


- Ellen Page/Wilco
(2008)
... (producer - segment ""Saturday TV Funhouse"")


- LeBron James/Kanye West
(2007)
... (producer - segment ""Saturday TV Funhouse"")


- Zach Braff/Maroon 5
(2007)
... (producer - segment ""Saturday TV Funhouse"")


- Molly Shannon/Linkin Park
(2007)
... (producer - segment ""Saturday TV Funhouse"")


- Scarlett Johansson/Björk
(2007)
... (producer - segment ""Saturday TV Funhouse"")





Show all 137 episodes",1990,2008
26021,Robert Smigel,director,2004-2004,Saturday Night Live,https://www.imdb.com/title/tt0072562/,(TV Series) (1 episode),1,"2004

Saturday Night Live
(TV Series) (1 episode)


- Snoop Dogg/Avril Lavigne
(2004)
... (segment ""TV Funhouse"")",2004,2004
26062,Robert Smigel,writer,nan-nan,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series) (2 episodes, 1999 - 2002) (writer - 414 episodes, 1985 - 2019) (additional sketches - 4 episodes, 1995 - 2013) (written by - 4 episodes, 2007 - 2008) (additional sketch - 3 episodes, 1995 - 2009)",425,"Saturday Night Live
(TV Series) (2 episodes, 1999 - 2002) (writer - 414 episodes, 1985 - 2019) (additional sketches - 4 episodes, 1995 - 2013) (written by - 4 episodes, 2007 - 2008) (additional sketch - 3 episodes, 1995 - 2009)


- Adam Sandler/Shawn Mendes
(2019)
... (writer)


- Christoph Waltz/Alabama Shakes
(2013)
... (additional sketches)


- Ed Helms/Paul Simon
(2011)
... (writer - segment ""Saturday TV Funhouse"")


- Steve Martin/Jason Mraz
(2009)
... (additional sketch)


- Steve Carell/Usher
(2008)
... (writer)





Show all 425 episodes",1985,2019
26109,Robert Smigel,actor,1985-2011,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various Voices / Various / Carl Wollarski / ...",114,"1985-2011

Saturday Night Live
(TV Series)

Various Voices / Various / Carl Wollarski / ...

- Ed Helms/Paul Simon
(2011)
... (voice)


- Ellen Page/Wilco
(2008)
... Al Sharpton (voice, uncredited)


- Seth Rogen/Spoon
(2007)
... (credit only)


- LeBron James/Kanye West
(2007)
... Bighead (voice)


- Zach Braff/Maroon 5
(2007)
... Rudolph Giuliani / John McCain / Various Voices (voice)





Show all 114 episodes",1985,2011
26161,Robert Smigel,self,1986-1992,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Self - Backstage",2,"1986-1992

Saturday Night Live
(TV Series)

Self / Self - Backstage

- Sharon Stone/Pearl Jam
(1992)
... Self (uncredited)


- Sam Kinison/Lou Reed
(1986)
... Self - Backstage (uncredited)",1986,1992
26214,David Spade,writer,nan-nan,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series) (1 episode, 1992) (writer - 56 episodes, 1989 - 1993)",57,"Saturday Night Live
(TV Series) (1 episode, 1992) (writer - 56 episodes, 1989 - 1993)


- Kevin Kline/Willie Nelson & Paul Simon
(1993)
... (writer)


- Christina Applegate/Midnight Oil
(1993)
... (writer)


- Kirstie Alley/Lenny Kravitz
(1993)
... (writer)


- Jason Alexander/Peter Gabriel
(1993)
... (writer)


- Miranda Richardson/Soul Asylum
(1993)
... (writer)





Show all 57 episodes",1989,1993
26294,David Spade,self,1990-2005,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Various / Self - Host / ...",46,"1990-2005

Saturday Night Live
(TV Series)

Self / Various / Self - Host / ...

- David Spade/Jack Johnson
(2005)
... Self - Host / Martha Stewart / Owen Wilson


- Alec Baldwin/Coldplay
(2001)
... Self (uncredited)


- David Spade/Eagle-Eye Cherry
(1998)
... Self - Host


- Neve Campbell/David Bowie
(1997)
... Self (uncredited)


- Jim Carrey/Soundgarden
(1996)
... Self / Various





Show all 46 episodes",1990,2005
26366,David Spade,actor,1990-2010,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Christy Henderson / Tom Petty / ...",77,"1990-2010

Saturday Night Live
(TV Series)

Various / Christy Henderson / Tom Petty / ...

- Jon Hamm/Rihanna
(2010)
... Dog (voice)


- Kirsten Dunst/Eminem
(2002)
... Thumper (voice)


- Alec Baldwin/Tori Amos
(1996)
... Brad Pitt


- Bob Saget/TLC
(1995)
... Various


- Courteney Cox/Dave Matthews Band
(1995)
... Various





Show all 77 episodes",1990,2010
26566,Jason Sudeikis,writer,2003-2005,Saturday Night Live,https://www.imdb.com/title/tt0072562/,(TV Series) (writer - 37 episodes),37,"2003-2005

Saturday Night Live
(TV Series) (writer - 37 episodes)


- Tom Brady/Beck
(2005)
... (writer)


- Cameron Diaz/Green Day
(2005)
... (writer)


- Ashton Kutcher/Gwen Stefani
(2005)
... (writer)


- David Spade/Jack Johnson
(2005)
... (writer)


- Hilary Swank/50 Cent
(2005)
... (writer)





Show all 37 episodes",2003,2005
26653,Jason Sudeikis,actor,2003-2020,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Mitt Romney / Joe Biden / ...",177,"2003-2020

Saturday Night Live
(TV Series)

Various / Mitt Romney / Joe Biden / ...

- RuPaul/Justin Bieber
(2020)
... Joe Biden (uncredited)


- Eddie Murphy/Lizzo
(2019)
... Joe Biden (uncredited)


- Kit Harington/Sara Bareilles
(2019)
... Joe Biden (uncredited)


- Tiffany Haddish/Taylor Swift
(2017)
... Joe Biden (uncredited)


- Kristen Wiig/The XX
(2016)
... Mitt Romney (uncredited)





Show all 177 episodes",2003,2020
26692,Jason Sudeikis,self,2020-2021,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self - Host / Self",2,"2020-2021

Saturday Night Live
(TV Series)

Self - Host / Self

- Jason Sudeikis/Brandi Carlile
(2021)
... Self - Host


- SNL At Home: Brad Pitt/Miley Cyrus
(2020)
... Self (uncredited)",2020,2021
26770,Terry Sweeney,writer,1980-1986,Saturday Night Live,https://www.imdb.com/title/tt0072562/,(TV Series) (writer - 31 episodes),31,"1980-1986

Saturday Night Live
(TV Series) (writer - 31 episodes)


- Anjelica Huston and Billy Martin/George Clinton & Parliament-Funkadelic
(1986)
... (writer)


- Jimmy Breslin and Marvin Hagler/Level 42/E.G. Daily
(1986)
... (writer)


- Catherine Oxenberg and Paul Simon/Ladysmith Black Mambazo
(1986)
... (writer)


- Tony Danza/Laurie Anderson
(1986)
... (writer)


- Oprah Winfrey/Joe Jackson
(1986)
... (writer)





Show all 31 episodes",1980,1986
26789,Terry Sweeney,actor,1981-1986,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / Nancy Reagan / Joan Rivers / ...",18,"1981-1986

Saturday Night Live
(TV Series)

Various / Nancy Reagan / Joan Rivers / ...

- Anjelica Huston and Billy Martin/George Clinton & Parliament-Funkadelic
(1986)
... Patti LaBelle / Various


- Jimmy Breslin and Marvin Hagler/Level 42/E.G. Daily
(1986)
... Various


- Catherine Oxenberg and Paul Simon/Ladysmith Black Mambazo
(1986)
... Alexis Carrington Colby / Joan Rivers / Various


- Tony Danza/Laurie Anderson
(1986)
... Nancy Reagan / Various


- Oprah Winfrey/Joe Jackson
(1986)
... Various





Show all 18 episodes",1981,1986
26791,Terry Sweeney,self,1986-1986,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self",1,"1986

Saturday Night Live
(TV Series)

Self

- George Wendt and Francis Ford Coppola/Philip Glass
(1986)
... Self",1986,1986
26797,Bowen Yang,actor,2019-2022,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Various / guy / Reflection Denied member / ...",59,"2019-2022

Saturday Night Live
(TV Series)

Various / guy / Reflection Denied member / ...

- Natasha Lyonne/Japanese Breakfast
(2022)


- Selena Gomez/Post Malone
(2022)
... Various


- Benedict Cumberbatch/Arcade Fire
(2022)
... guy / Reflection Denied member


- Lizzo
(2022)
... Easter Bunny / Tik Tokker / Taboo / ...


- Jake Gyllenhaal/Camila Cabello
(2022)
... The Singers Four / bee / trend Forecaster





Show all 59 episodes",2019,2022
26861,Anne Beatts,actress,1975-1985,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Patron / Various / Makeup Artist / ...",41,"1975-1985

Saturday Night Live
(TV Series)

Patron / Various / Makeup Artist / ...

- Christopher Reeve/Santana
(1985)
... Old lady (uncredited)


- Buck Henry/Andrew Gold/Andrae Crouch & Voices of Unity
(1980)
... Lady Disinfectant Cake / Patron (uncredited)


- Strother Martin/The Specials
(1980)
... Makeup Artist (uncredited)


- Kirk Douglas/Sam and Dave
(1980)
... Makeup Artist (uncredited)


- Chevy Chase/Marianne Faithfull
(1980)
... Customer (uncredited)





Show all 41 episodes",1975,1985
26883,Anne Beatts,writer,nan-nan,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series) (writer - 93 episodes, 1976 - 1980) (written by - 14 episodes, 1975 - 1979) (additional sketches by - 1 episode, 1985)",108,"Saturday Night Live
(TV Series) (writer - 93 episodes, 1976 - 1980) (written by - 14 episodes, 1975 - 1979) (additional sketches by - 1 episode, 1985)


- Christopher Reeve/Santana
(1985)
... (additional sketches by)


- Buck Henry/Andrew Gold/Andrae Crouch & Voices of Unity
(1980)
... (writer)


- Steve Martin/Paul & Linda McCartney/3-D
(1980)
... (writer)


- Bob Newhart/The Amazing Rhythm Aces/Bruce Cockburn
(1980)
... (writer)


- Strother Martin/The Specials
(1980)
... (writer)





Show all 108 episodes",1975,1985
26999,Lorne Michaels,writer,nan-nan,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series) (44 episodes, 1999 - 2021) (writer - 605 episodes, 1976 - 2022) (written by - 138 episodes, 1975 - 2021) (creator - 47 episodes, 2003 - 2011) (writing supervisor - 13 episodes, 1976)",833,"Saturday Night Live
(TV Series) (44 episodes, 1999 - 2021) (writer - 605 episodes, 1976 - 2022) (written by - 138 episodes, 1975 - 2021) (creator - 47 episodes, 2003 - 2011) (writing supervisor - 13 episodes, 1976)


- Natasha Lyonne/Japanese Breakfast
(2022)
... (writer)


- Selena Gomez/Post Malone
(2022)
... (writer)


- Benedict Cumberbatch/Arcade Fire
(2022)
... (writer)


- Lizzo
(2022)
... (writer)


- Jake Gyllenhaal/Camila Cabello
(2022)
... (writer)





Show all 833 episodes",1975,2022
27018,Lorne Michaels,self,1976-2022,Saturday Night Live,https://www.imdb.com/title/tt0072562/,"(TV Series)

Self / Self - Executive Producer / Self - Producer",111,"1976-2022

Saturday Night Live
(TV Series)

Self / Self - Executive Producer / Self - Producer

- Will Forte/Måneskin
(2022)
... Self (uncredited)


- David Harbour/Camila Cabello
(2019)
... Self (uncredited)


- Paul Rudd/DJ Khaled
(2019)
... Self (uncredited)


- Adam Driver/Kanye West
(2018)
... Self (uncredited)


- Tina Fey/Nicki Minaj
(2018)
... Self





Show all 111 episodes",1976,2022
